(0.584729, 0.563431), (-0.512212, 0.631952)
(0.584729, 0.563431), (0.526688, -0.540135)
(0.584729, 0.563431), (0.477046, 0.377412)
(-0.512212, 0.631952), (-0.593362, -0.469435)
(-0.512212, 0.631952), (-0.422936, 0.433733)
(0.526688, -0.540135), (-0.593362, -0.469435)
(0.526688, -0.540135), (0.427751, -0.527747)
(-0.593362, -0.469435), (-0.487728, -0.469963)
(0.477046, 0.377412), (-0.422936, 0.433733)
(0.477046, 0.377412), (0.427751, -0.527747)
(-0.422936, 0.433733), (-0.487728, -0.469963)
(0.427751, -0.527747), (-0.487728, -0.469963)
(0.613809, 0.56389), (-0.464257, 0.697632)
(0.613809, 0.56389), (0.498548, -0.517152)
(0.613809, 0.56389), (0.495158, 0.297099)
(-0.464257, 0.697632), (-0.624781, -0.374873)
(-0.464257, 0.697632), (-0.39323, 0.407903)
(0.498548, -0.517152), (-0.624781, -0.374873)
(0.498548, -0.517152), (0.396784, -0.59624)
(-0.624781, -0.374873), (-0.522115, -0.479654)
(0.495158, 0.297099), (-0.39323, 0.407903)
(0.495158, 0.297099), (0.396784, -0.59624)
(-0.39323, 0.407903), (-0.522115, -0.479654)
(0.396784, -0.59624), (-0.522115, -0.479654)
(0.642421, 0.557159), (-0.412661, 0.751895)
(0.642421, 0.557159), (0.471567, -0.486713)
(0.642421, 0.557159), (0.508815, 0.214334)
(-0.412661, 0.751895), (-0.649077, -0.273418)
(-0.412661, 0.751895), (-0.365722, 0.377469)
(0.471567, -0.486713), (-0.649077, -0.273418)
(0.471567, -0.486713), (0.361803, -0.659228)
(-0.649077, -0.273418), (-0.557304, -0.483339)
(0.508815, 0.214334), (-0.365722, 0.377469)
(0.508815, 0.214334), (0.361803, -0.659228)
(-0.365722, 0.377469), (-0.557304, -0.483339)
(0.361803, -0.659228), (-0.557304, -0.483339)
(0.67022, 0.543546), (-0.358398, 0.794324)
(0.67022, 0.543546), (0.446184, -0.449063)
(0.67022, 0.543546), (0.517968, 0.12983)
(-0.358398, 0.794324), (-0.665662, -0.16685)
(-0.358398, 0.794324), (-0.340672, 0.342869)
(0.446184, -0.449063), (-0.665662, -0.16685)
(0.446184, -0.449063), (0.323009, -0.71589)
(-0.665662, -0.16685), (-0.592857, -0.480805)
(0.517968, 0.12983), (-0.340672, 0.342869)
(0.517968, 0.12983), (0.323009, -0.71589)
(-0.340672, 0.342869), (-0.592857, -0.480805)
(0.323009, -0.71589), (-0.592857, -0.480805)
